Iso3,Country,Site ID,Site name,Borehole name,Automatic Borehole ID,Local Borehole ID,Latitude,Longitude,Elevation in meters above sea level,Status,Drilling date,Unknown drilling date,Last editor,Date of update,Hidden borehole,Depth in m,Static water level in meters below ground level,Type of pump,Pump brand and model,Pump depth in m,Pump motor power in kilowatt,Energy source,Generator brand and model,Generator capacity in kilovolt-ampere (kVA),Casing diameter in inch,Casing material,Screened areas in m,Sum of screened areas in m,End of casing/start of open hole in m,Aquifer type,Driller's yield in m3/hr,Dynamic Water Level at driller's yield in m,Pumping tests (DWL [m] - yield [m3/hr]),Pumping test quality control evaluation from solar tool (read only),Safe yield from solar tool in m3/hr (read only),Transmissivity from constant rate pumping test in m2/sec,Daily pumping time in h,Date of last water quality control,Conductivity in micro S/cm (microsiemen/cm),pH,Turbidity in NTU,Ammonia concentration in mg/L,Arsenic concentration in micro g/L,Fluoride concentration in mg/L,Nitrate concentration in mg/L,Nitrite concentration in mg/L,E-Coli,Solar potential in % (read only),Investment cost estimation in $ (read only),Maintenance cost estimation (read only),Solar gross payback in years (read only),Amount of CO2 avoided in tonnes/year (read only),Attachment description,Comments
ZMB,Zambia,,Kenani,BH2,ZMB--000051,Unknown,-9.275403,28.765284,976.048279,active,,,Kalle,19/09/2019,no,,,hand_pump,,,,,,,,,,,,,,,,,,,,,,7.17,,,,,,,,,,,,,,
ZMB,Zambia,,Kenani,BH5,ZMB--000052,Unknown,-9.277861,28.764229,970.65,active,,,Kalle,19/09/2019,no,,,electrical_pump,,,,solar_generator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZMB,Zambia,,Mantapala,Borehole # 1 (BH 1),ZMB--000083,Unknown,-9.5204,28.90972,1015.852234,active,30/01/2018,,Kalle,19/09/2019,no,60,5.55,hand_pump,Inda Mark II,,,,,,4.9,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,
ZMB,Zambia,,Mantapala,Borehole # 2 (BH 2),ZMB--000084,Unknown,-9.52409,28.90522,1015.791748,active,2/2/2018,,Kalle,19/09/2019,no,60,5.41,hand_pump,Inda Mark II,,,,,,4.9,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,
ZMB,Zambia,,Mantapala,Borehole # 3 (BH 3),ZMB--000085,Unknown,-9.5267,28.90247,1008.677612,active,19/02/2018,,Kalle,19/09/2019,no,51,5.54,electrical_pump,,,,solar_generator,,,4.9,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
ZMB,Zambia,,Mantapala,Borehole # 4 (BH 4),ZMB--000086,Unknown,-9.51875,28.90616,,active,20/02/2018,,Kalle,19/09/2019,no,54,10.63,hand_pump,Inda Mark II,,,,,,4.9,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,
ZMB,Zambia,,Mantapala,Borehole # 5 (BH 5),ZMB--000087,Unknown,-9.51782,28.90945,1003.845703,active,27/02/2018,,Kalle,19/09/2019,no,51,7.48,hand_pump,Inda Mark II,,,,,,4.9,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,
ZMB,Zambia,,Mantapala,Borehole # 6 (BH 6),ZMB--000088,Unknown,-9.51917,28.89926,1003.871704,active,7/3/2018,,Kalle,19/09/2019,no,45,3.16,hand_pump,Inda Mark II,,,,,,4.9,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,
ZMB,Zambia,,Mantapala,Borehole # 7 (BH 7),ZMB--000089,Unknown,-9.5218,28.90231,,active,7/4/2018,,Kalle,19/09/2019,no,50,3.89,hand_pump,Inda Mark II,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZMB,Zambia,,Mantapala,Borehole # 8 (BH 8),ZMB--000090,Unknown,-9.50574,28.9043,,active,15/04/2018,,Kalle,19/09/2019,no,45,0.61,hand_pump,Inda Mark II,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZMB,Zambia,,Mantapala,Borehole # 9 (BH 9),ZMB--000091,Unknown,-9.51167,28.9087,,active,25/04/2018,,Kalle,19/09/2019,no,30,3.78,hand_pump,Inda Mark II,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZMB,Zambia,,Mantapala,Borehole # 10(BH 10),ZMB--000092,Unknown,-9.51424,28.88378,,active,15/05/2018,,Kalle,19/09/2019,no,67,8.48,hand_pump,Inda Mark II,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZMB,Zambia,,Mantapala,Borehole # 11(BH 11),ZMB--000093,Unknown,-9.51038,28.89339,,active,17/05/2018,,Kalle,19/09/2019,no,51,4.58,hand_pump,Inda Mark II,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZMB,Zambia,,Mantapala,Borehole # 12 (BH 12),ZMB--000094,Unknown,-9.50495,28.89827,,active,23/05/2018,,Kalle,19/09/2019,no,51,4.12,hand_pump,Inda Mark II,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZMB,Zambia,,Mantapala,Borehole # 13 (BH 13),ZMB--000095,Unknown,-9.50196,28.89578,,active,26/05/2018,,Kalle,19/09/2019,no,51,3.9,hand_pump,Inda Mark II,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZMB,Zambia,,Mantapala,Borehole # 14 (BH 14),ZMB--000096,Unknown,-9.50106,28.88192,,active,30/05/2018,,Kalle,19/09/2019,no,51,2.12,hand_pump,Inda Mark II,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
